titulo,ano,nota
Dune,2021,8.4
Shang-Chi and the Legend of the Ten Rings,2021,8.4
Free Guy,2021,8.4
Cry Macho,2021,8.4
Malignant,2021,8.4
The Many Saints of Newark,2021,8.4
Old,2021,8.4
Finch,2021,8.4
Candyman,2021,8.4
Kate,2021,8.4
No Time to Die,2021,8.4
Venom: Let There Be Carnage,2021,8.4
Intrusion,2021,8.4
Dune,1984,8.4
Nightmare Alley,2021,8.4
Dear Evan Hansen,2021,8.4
Super Mario Bros: The Movie,2022,8.4
The Suicide Squad,2021,8.4
Cinderella,2021,8.4
Halloween Kills,2021,8.4
Cruella,2021,8.4
The Last Duel,2021,8.4
The Tragedy of Macbeth,2021,8.4
The Voyeurs,2021,8.4
Spencer,2021,8.4
Nightbooks,2021,8.4
The Guilty,2021,8.4
The Matrix Resurrections,2021,8.4
Everybody's Talking About Jamie,2021,8.4
Black Widow,2021,8.4
The Card Counter,2021,8.4
Prisoners of the Ghostland,2021,8.4
The Green Knight,2021,8.4
The Father Who Moves Mountains,2021,8.4
Spider-Man: No Way Home,2021,8.4
The Matrix,1999,8.4
My Son,2021,8.4
Copshop,2021,8.4
F9: The Fast Saga,2021,8.4
Gunpowder Milkshake,2021,8.4
The Stronghold,2020,8.4
The Starling,2021,8.4
Reminiscence,2021,8.4
Man on Fire,2004,8.4
Don't Breathe 2,2021,8.4
The Eyes of Tammy Faye,2021,8.4
The Batman,2022,8.4
The French Dispatch,2021,8.4
Last Night in Soho,2021,8.4
Escape Room: Tournament of Champions,2021,8.4
Don't Look Up,2021,8.4
Candyman,1992,8.4
365 Days,2020,8.4
Venom,2018,8.4
Jungle Cruise,2021,8.4
Once Upon a Time... In Hollywood,2019,8.4
The Shawshank Redemption,1994,8.4
The Power of the Dog,2021,8.4
Eternals,2021,8.4
After We Fell,2021,8.4
Night Teeth,2021,8.4
Harry Potter and the Sorcerer's Stone,2001,8.4
Knives Out,2019,8.4
A Mouthful of Air,2021,8.4
Schumacher,2021,8.4
Mortal Kombat,2021,8.4
Avengers: Endgame,2019,8.4
He's All That,2021,8.4
Midsommar,2019,8.4
Safe House,2012,8.4
Blade Runner 2049,2017,8.4
Wrath of Man,2021,8.4
West Side Story,2021,8.4
My Little Pony: A New Generation,2021,8.4
Tenet,2020,8.4
The Protege,2021,8.4
Shershaah,2021,8.4
The Wolf of Wall Street,2013,8.4
Worth,2020,8.4
The Tomorrow War,2021,8.4
Zack Snyder's Justice League,2021,8.4
Pig,2021,8.4
The Electrical Life of Louis Wain,2021,8.4
Gemini Man,2019,8.4
Once Upon a Time in America,1984,8.4
The Matrix Reloaded,2003,8.4
CODA,2021,8.4
Interstellar,2014,8.4
Wind River,2017,8.4
American Underdog,2021,8.4
The Dark Knight,2008,8.4
Super Mario Bros.,1993,8.4
A Quiet Place Part II,2020,8.4
Killers of the Flower Moon,,8.4
Nobody,2021,8.4
School of Rock,2003,8.4
The Father,2020,8.4
Parasite,2019,8.4
Infinite,2021,8.4
Friday,1995,8.4
